"Index","Open","High","Low","Close","Volume"
2017-05-15,1.0988,1.10595,1.0988,1.1048,830
2017-05-16,1.10515,1.11665,1.10475,1.1165,2011
2017-05-17,1.11605,1.1232,1.11515,1.12185,2908
2017-05-18,1.1235,1.12395,1.1145,1.1173,2791
2017-05-19,1.118,1.12795,1.1168,1.12735,1500
2017-05-22,1.12735,1.13315,1.1229,1.13045,2361
2017-05-23,1.1301,1.13355,1.12435,1.1252,2615
2017-05-24,1.125,1.12875,1.12365,1.1266,2916
2017-05-25,1.1282,1.1316,1.12595,1.127,2267
2017-05-26,1.12765,1.12995,1.12275,1.1244,3520
2017-05-30,1.12415,1.127,1.1175,1.1253,5652
2017-05-31,1.125,1.13165,1.12285,1.13105,5707
2017-06-01,1.1303,1.132,1.12635,1.12775,3174
2017-06-02,1.1275,1.13465,1.1267,1.13395,5498
2017-06-05,1.1338,1.13445,1.1295,1.13185,4185
2017-06-06,1.13205,1.1345,1.1302,1.13295,23793
2017-06-07,1.13355,1.13435,1.12645,1.13145,49170
2017-06-08,1.1321,1.1328,1.12545,1.12825,24144
2017-06-09,1.1264,1.12745,1.1225,1.12565,24090
2017-06-12,1.1262,1.12905,1.12505,1.12665,47821
2017-06-13,1.12615,1.1282,1.1243,1.12695,78330
2017-06-14,1.12665,1.13535,1.1251,1.12735,269316
2017-06-15,1.1275,1.12845,1.11875,1.12085,136668
2017-06-16,1.1201,1.1257,1.1193,1.12485,188534
2017-06-19,1.1255,1.12675,1.11975,1.1203,138442
2017-06-20,1.1202,1.1219,1.1173,1.1183,152326
2017-06-21,1.1189,1.12255,1.1181,1.1216,130203
2017-06-22,1.122,1.1229,1.1191,1.11985,123236
2017-06-23,1.1201,1.12605,1.1196,1.12485,128022
2017-06-26,1.1244,1.1271,1.12225,1.12315,159251
2017-06-27,1.12345,1.1401,1.12295,1.1398,297212
2017-06-28,1.13885,1.1441,1.1341,1.143,382261
2017-06-29,1.1425,1.1493,1.14215,1.14795,265810
2017-06-30,1.1488,1.1491,1.1438,1.1467,206175
2017-07-03,1.1467,1.1472,1.14,1.14015,167970
2017-07-05,1.1409,1.14215,1.1356,1.13855,257199
2017-07-06,1.1394,1.1467,1.1372,1.14645,199674
2017-07-07,1.1464,1.1482,1.14215,1.14445,200789
2017-07-10,1.1441,1.14595,1.1423,1.14445,128842
2017-07-11,1.144,1.1521,1.14235,1.1518,188681
2017-07-12,1.15055,1.153,1.14315,1.1455,242103
2017-07-13,1.1452,1.14945,1.1409,1.14435,243647
2017-07-14,1.1438,1.15095,1.1429,1.1504,204295
2017-07-17,1.15105,1.1525,1.1473,1.1518,140478
2017-07-18,1.1516,1.1622,1.1509,1.15985,264281
2017-07-19,1.1592,1.1594,1.15465,1.1555,173959
2017-07-20,1.15535,1.1694,1.15135,1.1659,368819
2017-07-21,1.16675,1.1718,1.16535,1.1713,203547
2017-07-24,1.1701,1.1718,1.166,1.1677,165384
2017-07-25,1.16715,1.1746,1.16645,1.16835,223824
2017-07-26,1.168,1.1773,1.16455,1.1736,267201
2017-07-27,1.178,1.1808,1.1681,1.17145,274483
2017-07-28,1.1707,1.17945,1.1701,1.17915,228272
2017-07-31,1.17825,1.18755,1.1753,1.18605,241643
2017-08-01,1.1866,1.18685,1.1814,1.18315,213451
2017-08-02,1.1834,1.19395,1.18225,1.18895,260660
2017-08-03,1.1882,1.192,1.18575,1.1894,194441
2017-08-04,1.1896,1.1915,1.17535,1.17905,261773
2017-08-07,1.17955,1.184,1.17945,1.182,145226
2017-08-08,1.18215,1.18485,1.17395,1.17775,187291
2017-08-09,1.17745,1.1788,1.17125,1.1777,207001
2017-08-10,1.17825,1.18085,1.17265,1.1792,183782
2017-08-11,1.17945,1.18695,1.177,1.18455,216624
2017-08-14,1.1846,1.186,1.17915,1.1805,143809
2017-08-15,1.1798,1.1814,1.1708,1.17545,191384
2017-08-16,1.17565,1.1799,1.17015,1.17885,227828
2017-08-17,1.17885,1.18085,1.168,1.1759,249368
2017-08-18,1.17435,1.17925,1.17255,1.17765,163095
2017-08-21,1.1777,1.18455,1.1748,1.18275,144246
2017-08-22,1.18285,1.1841,1.17615,1.1768,143913
2017-08-23,1.17805,1.1839,1.1756,1.18355,159410
2017-08-24,1.18225,1.1832,1.1798,1.1818,114770
